Session Size (KB),Total Migration Time (ms)
1,289.5291785
1,293.9081535
1,303.393412
1,306.76485
1,292.0496674
1,328.5077635
1,295.0572586
1,288.7932525
1,311.3274183
1,307.4799968
1,301.2550909
1,298.2188053
1,305.8460324
1,307.2237244
1,296.8730338
1,315.7454649
1,319.7214349
1,287.2917707
1,297.614096
1,305.7933176
1,299.7851005
1,271.337173
1,292.9040203
1,291.8310804
1,299.0029045
1,317.9909423
1,289.7203882
1,301.822151
1,312.3341641
1,293.9494539
1,306.9505947
1,286.7869418
1,299.6144684
1,324.2463161
1,285.6322083
1,298.9275489
1,293.6135209
1,327.2713187
1,307.9165865
1,289.7180493
1,286.4880896
1,308.7564139
1,293.5056323
1,302.7952329
1,328.9856152
1,301.1045269
1,281.0821761
1,290.3832596
1,295.705216
1,296.5802491
256,315.9062182
256,341.9636469
256,321.7577141
256,344.8273114
256,343.6054471
256,327.5934644
256,324.5515657
256,330.5553757
256,325.68109
256,327.6814546
256,319.6103871
256,345.5180705
256,306.5800492
256,321.4299627
256,337.9880568
256,345.7834682
256,339.5446371
256,325.2925124
256,335.9742676
256,347.2069936
256,345.9597305
256,350.2953908
256,343.7939132
256,335.1426191
256,323.536223
256,329.9897687
256,347.1137653
256,323.9685837
256,335.7782169
256,334.7288473
256,337.3724837
256,347.2094362
256,332.56749
256,319.820395
256,349.9548566
256,352.3834045
256,352.7135205
256,325.9424504
256,323.8276718
256,324.418078
256,338.8720566
256,317.5292823
256,323.7253466
256,328.9017344
256,335.9935783
256,351.5269745
256,330.9326624
256,319.468138
256,345.2093059
256,323.8387703
256,342.9360074
256,345.9863145
256,341.312994
256,314.752689
256,345.3200641
256,334.2274836
256,327.2748233
256,333.9274364
256,342.3835746
256,320.548229
256,347.6401498
256,333.3279237
256,340.8139927
256,331.0899207
256,323.2971847
256,339.6382949
256,344.4468678
256,334.2778763
256,336.6887714
256,331.5528366
256,339.7896123
256,324.7862207
256,322.6966599
256,337.3009457
256,327.2046815
256,331.1380757
256,340.8417346
256,315.4850802
256,341.151744
256,309.0445365
256,348.5906328
256,340.0231048
256,347.5307254
256,356.6800462
256,334.4346934
256,315.4822032
256,326.8293366
256,315.3716301
256,323.8837529
256,331.0770486
256,341.6677514
256,325.6271067
256,327.0379106
256,317.5229431
256,339.9806071
256,340.245141
256,329.8344791
256,344.4240745
256,324.1045085
256,307.8183232
256,334.7342043
256,357.2163927
256,329.7628247
256,337.0894348
256,337.2846862
256,350.4777485
256,345.5351684
256,326.3290252
256,349.7233966
256,346.0493885
256,330.5789329
256,315.5318656
256,315.777702
256,328.8650994
256,329.8548586
256,334.6345258
256,339.1190807
256,353.6178005
256,339.2133692
256,338.2299798
256,326.6502451
256,318.6845462
256,345.2227131
256,338.6858664
256,297.8854249
256,319.4434722
256,336.4941358
256,318.9995792
256,336.9677399
256,318.6314011
256,340.8467229
256,308.4872711
256,321.2225903
256,333.3612645
256,334.2357825
256,303.0245782
256,329.8310266
256,338.211674
256,339.5723589
256,347.5676251
256,305.390373
256,350.1897498
256,341.82936
256,349.0767736
256,326.7969279
256,325.1474591
256,318.134339
256,325.5027019
256,351.933007
256,328.1497497
256,322.1264388
256,326.5424595
256,327.8657865
